Customer ID,Segment,Total Orders,Total Items Ordered,Total Revenue CAD,Total Returns CAD,Return Rate %,Total COGS CAD,Total Return Processing Cost CAD,Total Shipping Cost CAD,Total Net Profit CAD,Profitable
CUST10059,Loyal Buyer,8,9,938.51,0,0.0,360.0,0,68.0,544.51,Yes
CUST10060,Bracket Buyer,5,13,719.87,214.47,29.8,520.0,66.5,42.5,140.4,Yes
CUST10061,Serial Returner,7,13,1491.54,430.57,28.9,520.0,92.0,59.5,381.47,Yes
CUST10062,Bracket Buyer,6,15,1345.96,295.41,21.9,600.0,51.0,51.0,472.55,Yes
CUST10063,Serial Returner,7,13,1062.26,351.9,33.1,520.0,105.5,59.5,97.36,Yes
CUST10064,Occasional Returner,4,4,267.13,75.13,28.1,160.0,23.5,34.0,38.5,Yes
CUST10065,Occasional Returner,3,5,260.92,38.93,14.9,200.0,19.5,25.5,78.99,Yes
CUST10066,Occasional Returner,5,7,590.03,133.45,22.6,280.0,25.5,42.5,180.58,Yes
CUST10067,Loyal Buyer,10,11,941.32,0,0.0,440.0,0,85.0,516.32,Yes
CUST10068,Loyal Buyer,6,6,746.14,124.33,16.7,240.0,25.5,51.0,257.31,Yes
CUST10069,Loyal Buyer,7,7,574.48,0,0.0,280.0,0,59.5,308.98,Yes
CUST10070,Occasional Returner,6,9,601.73,59.63,9.9,360.0,19.5,51.0,265.6,Yes
CUST10071,Occasional Returner,5,7,411.08,120.18,29.2,280.0,43.0,42.5,65.4,Yes
CUST10072,Occasional Returner,3,3,362.93,0,0.0,120.0,0,25.5,205.43,Yes
CUST10073,Serial Returner,7,8,595.26,408.27,68.6,320.0,97.5,59.5,-164.01,No
CUST10074,Bracket Buyer,7,19,1858.89,999.36,53.8,760.0,165.5,59.5,-99.47,No
CUST10075,Loyal Buyer,7,8,894.11,76.89,8.6,320.0,17.5,59.5,414.22,Yes
CUST10076,Serial Returner,7,12,744.47,206.48,27.7,480.0,76.0,59.5,130.49,Yes
CUST10077,Occasional Returner,5,7,641.3,136.46,21.3,280.0,43.0,42.5,193.34,Yes
CUST10078,Occasional Returner,5,6,658.99,217.61,33.0,240.0,47.0,42.5,79.88,Yes
CUST10079,Loyal Buyer,6,6,688.78,0,0.0,240.0,0,51.0,359.78,Yes
CUST10080,Loyal Buyer,3,3,300.16,0,0.0,120.0,0,25.5,168.66,Yes
CUST10081,Loyal Buyer,9,10,1131.74,0,0.0,400.0,0,76.5,645.24,Yes
CUST10082,Loyal Buyer,9,12,1286.66,0,0.0,480.0,0,76.5,736.16,Yes
CUST10083,Occasional Returner,8,10,983.8,94.95,9.7,400.0,23.5,68.0,413.35,Yes
CUST10084,Occasional Returner,5,6,390.75,88.58,22.7,240.0,23.5,42.5,96.17,Yes
CUST10085,Occasional Returner,7,11,1205.79,0,0.0,440.0,0,59.5,692.29,Yes
CUST10086,Bracket Buyer,10,32,2573.07,1585.98,61.6,1280.0,317.5,85.0,-275.41,No
CUST10087,Loyal Buyer,10,11,1130.07,0,0.0,440.0,0,85.0,623.07,Yes
CUST10088,Occasional Returner,6,9,779.78,44.88,5.8,360.0,19.5,51.0,358.4,Yes
CUST10089,Loyal Buyer,3,3,363.19,0,0.0,120.0,0,25.5,205.69,Yes
CUST10090,Serial Returner,3,4,432.14,263.8,61.0,160.0,47.0,25.5,-62.16,No
CUST10091,Occasional Returner,4,5,541.71,83.43,15.4,200.0,23.5,34.0,200.78,Yes
CUST10092,Loyal Buyer,5,6,663.66,68.47,10.3,240.0,17.5,42.5,293.19,Yes
CUST10093,Serial Returner,10,16,1248.09,226.44,18.1,640.0,82.0,85.0,428.65,Yes
CUST10094,Occasional Returner,4,4,276.15,42.62,15.4,160.0,19.5,34.0,78.03,Yes
CUST10095,Occasional Returner,1,1,164.82,0,0.0,40.0,0,8.5,78.32,Yes
CUST10096,Loyal Buyer,8,11,763.43,0,0.0,440.0,0,68.0,397.43,Yes
CUST10097,Serial Returner,6,10,978.68,173.88,17.8,400.0,27.5,51.0,366.3,Yes
CUST10098,Loyal Buyer,7,8,744.17,233.93,31.4,320.0,27.5,59.5,145.24,Yes
CUST10099,Bracket Buyer,5,14,1516.07,712.24,47.0,560.0,122.5,42.5,58.83,Yes
CUST10100,Loyal Buyer,10,11,1204.36,255.63,21.2,440.0,47.0,85.0,370.73,Yes
CUST10101,Loyal Buyer,7,9,868.14,0,0.0,360.0,0,59.5,488.64,Yes
CUST10102,Serial Returner,3,6,716.94,159.4,22.2,240.0,41.0,25.5,227.04,Yes
CUST10103,Loyal Buyer,6,6,545.22,0,0.0,240.0,0,51.0,304.22,Yes
CUST10104,Loyal Buyer,8,9,805.88,0,0.0,360.0,0,68.0,451.88,Yes
CUST10105,Occasional Returner,4,7,489.51,218.72,44.7,280.0,64.5,34.0,-11.71,No
CUST10106,Serial Returner,7,11,996.11,421.17,42.3,440.0,92.0,59.5,33.44,Yes
CUST10107,Serial Returner,6,10,943.72,175.34,18.6,400.0,62.5,51.0,294.88,Yes
CUST10108,Loyal Buyer,4,4,208.79,0,0.0,160.0,0,34.0,110.79,Yes
CUST10109,Occasional Returner,4,7,872.97,233.13,26.7,280.0,64.5,34.0,235.34,Yes
CUST10110,Occasional Returner,7,9,814.07,293.66,36.1,360.0,66.5,59.5,120.41,Yes
CUST10111,Serial Returner,1,2,197.54,98.77,50.0,80.0,23.5,8.5,2.77,Yes
CUST10112,Bracket Buyer,4,10,1050.94,512.93,48.8,400.0,90.5,34.0,31.51,Yes
CUST10113,Occasional Returner,3,4,298.97,56.63,18.9,160.0,19.5,25.5,97.34,Yes
CUST10114,Bracket Buyer,8,19,1973.96,867.05,43.9,760.0,186.5,68.0,132.41,Yes
CUST10115,Occasional Returner,3,5,607.14,53.51,8.8,200.0,19.5,25.5,294.63,Yes
CUST10116,Occasional Returner,2,3,156.07,47.63,30.5,120.0,19.5,17.0,17.94,Yes
CUST10117,Occasional Returner,6,8,1159.62,605.15,52.2,320.0,106.0,51.0,-96.53,No
CUST10118,Loyal Buyer,5,6,646.55,166.82,25.8,240.0,25.5,42.5,163.73,Yes
CUST10119,Loyal Buyer,7,7,897.76,0,0.0,280.0,0,59.5,482.26,Yes
CUST10120,Bracket Buyer,7,19,1978.5,1007.81,50.9,760.0,160.0,59.5,83.19,Yes
CUST10121,Occasional Returner,5,6,493.7,64.75,13.1,240.0,19.5,42.5,206.95,Yes
CUST10122,Serial Returner,6,8,936.3,671.46,71.7,320.0,143.0,51.0,-299.16,No
CUST10123,Loyal Buyer,4,4,289.69,0,0.0,160.0,0,34.0,149.69,Yes
CUST10124,Loyal Buyer,7,7,760.92,39.13,5.1,280.0,19.5,59.5,362.79,Yes
CUST10125,Occasional Returner,3,3,265.24,130.65,49.3,120.0,35.0,25.5,-21.91,No
CUST10126,Loyal Buyer,7,8,755.51,53.23,7.0,320.0,19.5,59.5,343.28,Yes
CUST10127,Loyal Buyer,7,8,789.81,43.72,5.5,320.0,19.5,59.5,367.09,Yes
CUST10128,Serial Returner,5,9,618.66,139.69,22.6,360.0,37.0,42.5,195.47,Yes
CUST10129,Serial Returner,9,17,1524.67,498.53,32.7,680.0,131.0,76.5,262.64,Yes
CUST10130,Loyal Buyer,6,8,1035.52,0,0.0,320.0,0,51.0,560.52,Yes
CUST10131,Occasional Returner,5,7,619.31,0,0.0,280.0,0,42.5,350.81,Yes
CUST10132,Occasional Returner,6,9,857.04,0,0.0,360.0,0,51.0,490.04,Yes
CUST10133,Bracket Buyer,4,11,1161.6,417.59,35.9,440.0,86.5,34.0,215.51,Yes
CUST10134,Loyal Buyer,5,7,359.89,0,0.0,280.0,0,42.5,171.39,Yes
CUST10135,Loyal Buyer,7,8,470.0,65.95,14.0,320.0,17.5,59.5,181.05,Yes
CUST10136,Occasional Returner,5,8,1011.72,0,0.0,320.0,0,42.5,629.22,Yes
CUST10137,Occasional Returner,4,4,388.44,103.11,26.5,160.0,23.5,34.0,95.83,Yes
CUST10138,Bracket Buyer,6,15,1755.82,529.8,30.2,600.0,94.5,51.0,438.52,Yes
CUST10139,Bracket Buyer,2,5,394.63,226.94,57.5,200.0,49.0,17.0,-28.31,No
CUST10140,Loyal Buyer,7,7,804.42,99.81,12.4,280.0,23.5,59.5,337.61,Yes
CUST10141,Loyal Buyer,12,14,1073.68,0,0.0,560.0,0,102.0,603.68,Yes
CUST10142,Serial Returner,5,8,539.54,232.2,43.0,320.0,72.0,42.5,-1.16,No
CUST10143,Loyal Buyer,9,9,832.15,0,0.0,360.0,0,76.5,465.65,Yes
CUST10144,Occasional Returner,7,8,574.07,260.63,45.4,320.0,78.0,59.5,-24.06,No
CUST10145,Loyal Buyer,10,10,1078.52,362.2,33.6,400.0,53.0,85.0,164.32,Yes
CUST10146,Loyal Buyer,4,4,409.5,130.06,31.8,160.0,25.5,34.0,77.94,Yes
CUST10147,Occasional Returner,6,9,630.07,136.45,21.7,360.0,25.5,51.0,189.12,Yes
CUST10148,Occasional Returner,4,5,596.73,0,0.0,200.0,0,34.0,290.73,Yes
CUST10149,Loyal Buyer,6,7,938.13,0,0.0,280.0,0,51.0,531.13,Yes
CUST10150,Loyal Buyer,9,10,1082.19,197.88,18.3,400.0,47.0,76.5,346.81,Yes
CUST10151,Occasional Returner,4,5,468.48,0,0.0,200.0,0,34.0,280.48,Yes
CUST10152,Serial Returner,10,16,1947.31,975.99,50.1,640.0,190.0,85.0,-29.68,No
CUST10153,Loyal Buyer,10,12,724.35,144.13,19.9,480.0,43.0,85.0,178.22,Yes
CUST10154,Occasional Returner,2,5,271.65,48.69,17.9,200.0,19.5,17.0,58.46,Yes
CUST10155,Serial Returner,8,13,1626.17,608.44,37.4,520.0,119.5,68.0,214.23,Yes
CUST10156,Occasional Returner,8,13,1245.78,359.79,28.9,520.0,53.0,68.0,352.99,Yes
CUST10157,Occasional Returner,6,8,674.51,0,0.0,320.0,0,51.0,353.51,Yes
CUST10158,Bracket Buyer,1,3,123.75,0,0.0,120.0,0,8.5,67.25,Yes
CUST10159,Loyal Buyer,8,8,729.56,37.65,5.2,320.0,19.5,68.0,330.41,Yes
CUST10160,Occasional Returner,3,5,325.97,53.8,16.5,200.0,19.5,25.5,135.17,Yes
CUST10161,Occasional Returner,2,4,263.82,68.0,25.8,160.0,17.5,17.0,73.32,Yes
CUST10162,Bracket Buyer,4,12,900.78,239.04,26.5,480.0,55.0,34.0,254.74,Yes
CUST10163,Loyal Buyer,7,8,918.5,0,0.0,320.0,0,59.5,543.0,Yes
CUST10164,Occasional Returner,7,8,862.97,192.47,22.3,320.0,47.0,59.5,254.0,Yes
CUST10165,Loyal Buyer,12,13,1216.76,0,0.0,520.0,0,102.0,632.76,Yes
CUST10166,Loyal Buyer,9,11,738.25,47.86,6.5,440.0,17.5,76.5,348.39,Yes
CUST10167,Loyal Buyer,10,11,1143.07,0,0.0,440.0,0,85.0,632.07,Yes
CUST10168,Serial Returner,8,13,1436.24,477.55,33.3,520.0,102.0,68.0,200.69,Yes
CUST10169,Occasional Returner,3,5,468.16,0,0.0,200.0,0,25.5,268.66,Yes
CUST10170,Bracket Buyer,8,22,1940.65,936.9,48.3,880.0,189.0,68.0,108.75,Yes
CUST10171,Occasional Returner,4,6,730.74,94.61,12.9,240.0,23.5,34.0,316.63,Yes
CUST10172,Occasional Returner,7,11,1133.55,149.46,13.2,440.0,37.5,59.5,441.09,Yes
CUST10173,Occasional Returner,6,10,1115.25,183.99,16.5,400.0,43.0,51.0,415.26,Yes
CUST10174,Bracket Buyer,4,11,889.5,284.16,31.9,440.0,41.5,34.0,213.84,Yes
CUST10175,Bracket Buyer,10,31,3924.49,1809.17,46.1,1240.0,271.0,85.0,161.32,Yes
CUST10176,Occasional Returner,5,7,703.72,149.3,21.2,280.0,25.5,42.5,198.42,Yes
CUST10177,Serial Returner,9,14,1326.19,586.86,44.3,560.0,139.0,76.5,-42.17,No
CUST10178,Occasional Returner,5,8,613.99,0,0.0,320.0,0,42.5,313.49,Yes
CUST10179,Serial Returner,5,8,518.18,108.16,20.9,320.0,39.0,42.5,152.52,Yes
CUST10180,Occasional Returner,5,6,805.16,103.45,12.8,240.0,27.5,42.5,293.71,Yes
CUST10181,Serial Returner,5,9,925.54,296.28,32.0,360.0,53.0,42.5,171.76,Yes
CUST10182,Bracket Buyer,4,10,1249.2,748.18,59.9,400.0,128.0,34.0,-108.98,No
CUST10183,Bracket Buyer,4,9,866.41,515.48,59.5,360.0,102.5,34.0,-175.57,No
CUST10184,Bracket Buyer,4,12,1684.53,956.61,56.8,480.0,128.5,34.0,-76.58,No
CUST10185,Occasional Returner,2,4,473.14,0,0.0,160.0,0,17.0,268.14,Yes
CUST10186,Occasional Returner,7,9,608.34,219.51,36.1,360.0,60.5,59.5,48.83,Yes
CUST10187,Occasional Returner,4,5,494.91,349.27,70.6,200.0,68.5,34.0,-146.86,No
CUST10188,Serial Returner,5,9,916.38,438.73,47.9,360.0,78.5,42.5,-17.35,No
CUST10189,Occasional Returner,3,5,613.06,167.06,27.3,200.0,25.5,25.5,175.0,Yes
CUST10190,Bracket Buyer,6,16,1989.27,1292.72,65.0,640.0,193.0,51.0,-241.45,No
CUST10191,Occasional Returner,2,2,173.99,0,0.0,80.0,0,17.0,88.99,Yes
CUST10192,Occasional Returner,4,4,661.23,258.18,39.0,160.0,27.5,34.0,111.55,Yes
CUST10193,Occasional Returner,1,1,133.26,0,0.0,40.0,0,8.5,72.76,Yes
CUST10194,Occasional Returner,4,7,627.01,0,0.0,280.0,0,34.0,345.01,Yes
CUST10195,Loyal Buyer,5,6,557.03,0,0.0,240.0,0,42.5,318.53,Yes
CUST10196,Occasional Returner,2,2,149.0,66.72,44.8,80.0,17.5,17.0,-6.22,No
CUST10197,Occasional Returner,1,2,138.46,0,0.0,80.0,0,8.5,85.96,Yes
CUST10198,Serial Returner,13,22,3325.79,871.04,26.2,880.0,172.5,110.5,917.75,Yes
CUST10199,Occasional Returner,6,8,853.7,369.48,43.3,320.0,68.5,51.0,52.72,Yes
CUST10200,Loyal Buyer,9,12,1411.77,69.9,5.0,480.0,17.5,76.5,693.87,Yes
CUST10201,Loyal Buyer,8,8,863.6,44.53,5.2,320.0,19.5,68.0,431.57,Yes
CUST10202,Occasional Returner,4,5,455.4,0,0.0,200.0,0,34.0,263.4,Yes
CUST10203,Occasional Returner,5,7,631.13,329.47,52.2,280.0,53.0,42.5,-51.84,No
CUST10204,Bracket Buyer,6,18,1836.51,575.17,31.3,720.0,100.5,51.0,359.84,Yes
CUST10205,Occasional Returner,6,8,831.57,209.81,25.2,320.0,47.0,51.0,193.76,Yes
CUST10206,Loyal Buyer,6,7,497.23,76.96,15.5,280.0,17.5,51.0,175.77,Yes
CUST10207,Serial Returner,6,9,889.76,513.38,57.7,360.0,113.5,51.0,-136.12,No
CUST10208,Serial Returner,9,16,1547.18,541.44,35.0,640.0,119.5,76.5,261.74,Yes
CUST10209,Serial Returner,4,7,917.32,448.58,48.9,280.0,72.5,34.0,-3.76,No
CUST10210,Loyal Buyer,10,14,1268.13,191.81,15.1,560.0,47.0,85.0,474.32,Yes
CUST10211,Loyal Buyer,9,10,822.63,0,0.0,400.0,0,76.5,440.13,Yes
CUST10212,Serial Returner,7,10,1345.22,403.41,30.0,400.0,67.0,59.5,293.31,Yes
CUST10213,Serial Returner,7,14,1586.18,311.12,19.6,560.0,62.5,59.5,679.06,Yes
CUST10214,Serial Returner,7,10,1288.67,562.72,43.7,400.0,121.5,59.5,38.95,Yes
CUST10215,Occasional Returner,5,7,456.0,50.74,11.1,280.0,17.5,42.5,167.26,Yes
CUST10216,Occasional Returner,2,2,102.93,55.81,54.2,80.0,23.5,17.0,-41.38,No
CUST10217,Loyal Buyer,4,5,408.27,0,0.0,200.0,0,34.0,206.27,Yes
CUST10218,Serial Returner,7,12,1488.78,745.31,50.1,480.0,143.0,59.5,-3.03,No
CUST10219,Occasional Returner,4,6,658.98,200.56,30.4,240.0,27.5,34.0,130.92,Yes
CUST10220,Occasional Returner,3,4,517.84,157.36,30.4,160.0,25.5,25.5,137.48,Yes
CUST10221,Occasional Returner,5,7,1271.96,172.83,13.6,280.0,27.5,42.5,535.13,Yes
CUST10222,Loyal Buyer,8,10,879.18,0,0.0,400.0,0,68.0,473.18,Yes
CUST10223,Serial Returner,5,8,829.69,397.08,47.9,320.0,94.0,42.5,-23.89,No
CUST10224,Loyal Buyer,5,6,742.72,43.76,5.9,240.0,19.5,42.5,354.96,Yes
CUST10225,Bracket Buyer,5,14,1232.3,523.55,42.5,560.0,102.0,42.5,174.25,Yes
CUST10226,Occasional Returner,8,13,1814.29,198.34,10.9,520.0,45.0,68.0,826.95,Yes
CUST10227,Occasional Returner,6,8,794.62,151.01,19.0,320.0,43.0,51.0,261.61,Yes
CUST10228,Loyal Buyer,9,10,1142.58,97.92,8.6,400.0,23.5,76.5,540.66,Yes
CUST10229,Occasional Returner,5,7,352.13,228.76,65.0,280.0,74.0,42.5,-123.13,No
CUST10230,Serial Returner,5,7,467.68,268.04,57.3,280.0,82.0,42.5,-100.86,No
CUST10231,Loyal Buyer,10,12,1077.71,0,0.0,480.0,0,85.0,612.71,Yes
CUST10232,Serial Returner,8,16,2118.99,1153.57,54.4,640.0,175.0,68.0,-93.58,No
CUST10233,Loyal Buyer,8,10,976.85,0,0.0,400.0,0,68.0,514.85,Yes
CUST10234,Occasional Returner,3,3,346.63,46.97,13.6,120.0,19.5,25.5,128.66,Yes
CUST10235,Occasional Returner,6,10,1033.23,62.93,6.1,400.0,17.5,51.0,485.8,Yes
CUST10236,Bracket Buyer,5,12,1447.86,599.8,41.4,480.0,71.0,42.5,214.56,Yes
CUST10237,Bracket Buyer,3,10,1090.07,236.67,21.7,400.0,51.5,25.5,348.4,Yes
CUST10238,Occasional Returner,4,7,870.88,0,0.0,280.0,0,34.0,536.88,Yes
CUST10239,Occasional Returner,8,12,1652.04,0,0.0,480.0,0,68.0,922.04,Yes
CUST10240,Serial Returner,4,5,715.13,123.94,17.3,200.0,25.5,34.0,245.69,Yes
CUST10241,Occasional Returner,7,9,967.57,0,0.0,360.0,0,59.5,494.07,Yes
CUST10242,Occasional Returner,3,4,375.48,278.7,74.2,160.0,45.0,25.5,-105.72,No
CUST10243,Loyal Buyer,6,7,1011.01,222.87,22.0,280.0,27.5,51.0,353.64,Yes
CUST10244,Loyal Buyer,9,10,821.47,61.15,7.4,400.0,17.5,76.5,344.32,Yes
CUST10245,Serial Returner,7,11,990.27,275.39,27.8,440.0,45.0,59.5,250.38,Yes
CUST10246,Occasional Returner,9,13,1400.62,163.83,11.7,520.0,62.5,76.5,557.79,Yes
CUST10247,Occasional Returner,6,9,812.91,76.02,9.4,360.0,17.5,51.0,378.39,Yes
CUST10248,Loyal Buyer,9,11,673.0,55.4,8.2,440.0,19.5,76.5,303.6,Yes
CUST10249,Serial Returner,8,12,1110.33,332.82,30.0,480.0,68.5,68.0,191.01,Yes
CUST10250,Serial Returner,6,8,702.64,358.35,51.0,320.0,88.0,51.0,-72.71,No
CUST10251,Bracket Buyer,3,7,355.19,142.51,40.1,280.0,49.0,25.5,-5.82,No
CUST10252,Bracket Buyer,6,15,1230.1,333.6,27.1,600.0,74.5,51.0,257.0,Yes
CUST10253,Loyal Buyer,11,12,1085.96,0,0.0,480.0,0,93.5,600.46,Yes
CUST10254,Bracket Buyer,8,23,2118.91,1095.01,51.7,920.0,211.0,68.0,-61.1,No
CUST10255,Serial Returner,8,15,1470.38,147.12,10.0,600.0,43.0,68.0,710.26,Yes
CUST10256,Occasional Returner,4,5,461.16,148.78,32.3,200.0,41.0,34.0,67.38,Yes
CUST10257,Serial Returner,7,12,1280.95,677.94,52.9,480.0,143.0,59.5,-47.49,No
CUST10258,Serial Returner,10,15,1300.87,748.52,57.5,600.0,170.0,85.0,-200.65,No
CUST10259,Loyal Buyer,5,5,571.82,278.58,48.7,200.0,47.0,42.5,3.74,Yes
CUST10260,Occasional Returner,5,5,651.48,0,0.0,200.0,0,42.5,372.98,Yes
CUST10261,Bracket Buyer,3,9,965.39,160.44,16.6,360.0,53.0,25.5,302.45,Yes
CUST10262,Occasional Returner,5,9,1070.5,315.67,29.5,360.0,66.5,42.5,253.83,Yes
CUST10263,Bracket Buyer,7,19,1432.25,703.16,49.1,760.0,149.5,59.5,16.09,Yes
CUST10264,Occasional Returner,5,7,785.37,170.78,21.7,280.0,62.5,42.5,221.59,Yes
CUST10265,Bracket Buyer,6,15,1825.49,799.27,43.8,600.0,132.0,51.0,159.22,Yes
CUST10266,Occasional Returner,4,6,428.91,0,0.0,240.0,0,34.0,250.91,Yes
CUST10267,Occasional Returner,4,7,636.05,179.22,28.2,280.0,45.0,34.0,93.83,Yes
CUST10268,Occasional Returner,7,10,1293.8,138.7,10.7,400.0,43.0,59.5,590.6,Yes
CUST10269,Loyal Buyer,8,9,877.75,224.48,25.6,360.0,62.5,68.0,176.77,Yes
CUST10270,Bracket Buyer,4,11,1386.94,524.09,37.8,440.0,80.5,34.0,218.35,Yes
CUST10271,Loyal Buyer,6,6,580.69,0,0.0,240.0,0,51.0,297.69,Yes
CUST10272,Occasional Returner,5,8,1168.65,93.56,8.0,320.0,39.0,42.5,653.59,Yes
CUST10273,Occasional Returner,4,5,481.15,67.64,14.1,200.0,23.5,34.0,172.01,Yes
CUST10274,Bracket Buyer,4,10,999.55,496.83,49.7,400.0,94.5,34.0,42.22,Yes
CUST10275,Loyal Buyer,2,2,212.98,0,0.0,80.0,0,17.0,127.98,Yes
CUST10276,Serial Returner,5,6,641.18,300.64,46.9,240.0,64.5,42.5,-8.46,No
CUST10277,Serial Returner,5,10,834.46,315.61,37.8,400.0,74.5,42.5,83.85,Yes
CUST10278,Bracket Buyer,3,9,1005.87,670.58,66.7,360.0,124.5,25.5,-282.71,No
CUST10279,Loyal Buyer,7,7,718.99,66.32,9.2,280.0,23.5,59.5,265.67,Yes
