Order ID,Customer ID,Customer Segment,Order Date,Month,Category,Items Ordered,Order Value CAD,COGS CAD,Shipping Cost CAD,Returned,Items Returned,Return Value CAD,Return Processing Cost CAD,Return Shipping Cost CAD,Return Reason,Gross Profit CAD,Net Profit CAD
ORD28618,CUST11461,Serial Returner,2024-01-03,2024-01,Footwear,1,131.82,52,8.5,Yes,1,131.82,16,9.5,Wrong size,71.32,-86.0
ORD28779,CUST11486,Bracket Buyer,2024-01-03,2024-01,Footwear,3,370.05,156,8.5,Yes,2,246.7,32,9.5,Ordered multiple sizes,205.55,-82.65
ORD28962,CUST11518,Serial Returner,2024-01-03,2024-01,Outerwear,2,297.08,156,8.5,Yes,1,148.54,18,9.5,Changed mind,132.58,-43.46
ORD29021,CUST11528,Loyal Buyer,2024-01-03,2024-01,Tops,1,53.95,16,8.5,No,0,0,0,0,Not returned,29.45,29.45
ORD29476,CUST11607,Occasional Returner,2024-01-03,2024-01,Footwear,1,134.87,52,8.5,Yes,1,134.87,16,9.5,Arrived too late,74.37,-86.0
ORD29531,CUST11617,Bracket Buyer,2024-01-03,2024-01,Accessories,3,229.62,66,8.5,Yes,2,153.08,16,9.5,Ordered multiple sizes,155.12,-23.46
ORD29638,CUST11635,Occasional Returner,2024-01-03,2024-01,Tops,2,122.58,32,8.5,No,0,0,0,0,Not returned,82.08,82.08
ORD29775,CUST11657,Bracket Buyer,2024-01-03,2024-01,Denim,3,281.25,96,8.5,Yes,2,187.5,28,9.5,Ordered multiple sizes,176.75,-48.25
ORD30435,CUST11773,Occasional Returner,2024-01-03,2024-01,Tops,1,55.66,16,8.5,Yes,1,55.66,10,9.5,Wrong size,31.16,-44.0
ORD20233,CUST10044,Occasional Returner,2024-01-04,2024-01,Denim,1,89.3,32,8.5,No,0,0,0,0,Not returned,48.8,48.8
ORD20969,CUST10166,Loyal Buyer,2024-01-04,2024-01,Accessories,1,47.86,22,8.5,Yes,1,47.86,8,9.5,Wrong size,17.36,-48.0
ORD21564,CUST10268,Occasional Returner,2024-01-04,2024-01,Denim,1,95.38,32,8.5,No,0,0,0,0,Not returned,54.88,54.88
ORD21621,CUST10280,Loyal Buyer,2024-01-04,2024-01,Footwear,1,151.41,52,8.5,Yes,1,151.41,16,9.5,Ordered multiple sizes,90.91,-86.0
ORD21773,CUST10304,Loyal Buyer,2024-01-04,2024-01,Accessories,1,44.96,22,8.5,No,0,0,0,0,Not returned,14.46,14.46
ORD21888,CUST10324,Serial Returner,2024-01-04,2024-01,Accessories,2,115.64,44,8.5,No,0,0,0,0,Not returned,63.14,63.14
ORD21985,CUST10341,Occasional Returner,2024-01-04,2024-01,Denim,1,81.33,32,8.5,No,0,0,0,0,Not returned,40.83,40.83
ORD22658,CUST10451,Bracket Buyer,2024-01-04,2024-01,Outerwear,3,536.43,234,8.5,Yes,2,357.62,36,9.5,Ordered multiple sizes,293.93,-109.19
ORD22980,CUST10501,Occasional Returner,2024-01-04,2024-01,Footwear,1,122.09,52,8.5,No,0,0,0,0,Not returned,61.59,61.59
ORD23490,CUST10584,Loyal Buyer,2024-01-04,2024-01,Accessories,1,74.45,22,8.5,No,0,0,0,0,Not returned,43.95,43.95
ORD23524,CUST10588,Serial Returner,2024-01-04,2024-01,Tops,1,56.28,16,8.5,Yes,1,56.28,10,9.5,Quality issue,31.78,-44.0
ORD24487,CUST10753,Loyal Buyer,2024-01-04,2024-01,Outerwear,1,162.51,78,8.5,No,0,0,0,0,Not returned,76.01,76.01
ORD24493,CUST10753,Loyal Buyer,2024-01-04,2024-01,Tops,1,45.08,16,8.5,No,0,0,0,0,Not returned,20.58,20.58
ORD24930,CUST10832,Occasional Returner,2024-01-04,2024-01,Footwear,2,303.46,104,8.5,No,0,0,0,0,Not returned,190.96,190.96
ORD24937,CUST10833,Loyal Buyer,2024-01-04,2024-01,Tops,1,59.18,16,8.5,No,0,0,0,0,Not returned,34.68,34.68
ORD25517,CUST10929,Bracket Buyer,2024-01-04,2024-01,Tops,4,248.72,64,8.5,Yes,3,186.54,30,9.5,Ordered multiple sizes,176.22,-49.82
ORD25523,CUST10930,Loyal Buyer,2024-01-04,2024-01,Tops,1,49.44,16,8.5,No,0,0,0,0,Not returned,24.94,24.94
ORD25756,CUST10970,Occasional Returner,2024-01-04,2024-01,Footwear,1,132.53,52,8.5,No,0,0,0,0,Not returned,72.03,72.03
ORD25983,CUST11009,Loyal Buyer,2024-01-04,2024-01,Accessories,1,45.08,22,8.5,No,0,0,0,0,Not returned,14.58,14.58
ORD27564,CUST11289,Bracket Buyer,2024-01-04,2024-01,Tops,2,102.22,32,8.5,Yes,1,51.11,10,9.5,Ordered multiple sizes,61.72,-8.89
ORD27578,CUST11292,Serial Returner,2024-01-04,2024-01,Accessories,1,47.27,22,8.5,No,0,0,0,0,Not returned,16.77,16.77
ORD27668,CUST11306,Serial Returner,2024-01-04,2024-01,Denim,1,70.15,32,8.5,Yes,1,70.15,14,9.5,Ordered multiple sizes,29.65,-64.0
ORD27694,CUST11310,Bracket Buyer,2024-01-04,2024-01,Tops,3,117.75,48,8.5,Yes,2,78.5,20,9.5,Ordered multiple sizes,61.25,-46.75
ORD27705,CUST11312,Loyal Buyer,2024-01-04,2024-01,Footwear,1,147.9,52,8.5,No,0,0,0,0,Not returned,87.4,87.4
ORD28787,CUST11488,Loyal Buyer,2024-01-04,2024-01,Footwear,2,276.72,104,8.5,No,0,0,0,0,Not returned,164.22,164.22
ORD28911,CUST11510,Loyal Buyer,2024-01-04,2024-01,Footwear,1,144.61,52,8.5,No,0,0,0,0,Not returned,84.11,84.11
ORD28965,CUST11519,Serial Returner,2024-01-04,2024-01,Denim,3,294.12,96,8.5,Yes,2,196.08,28,9.5,Ordered multiple sizes,189.62,-43.96
ORD29448,CUST11601,Bracket Buyer,2024-01-04,2024-01,Outerwear,3,452.49,234,8.5,Yes,2,301.66,36,9.5,Ordered multiple sizes,209.99,-137.17
ORD29563,CUST11622,Serial Returner,2024-01-04,2024-01,Footwear,2,290.6,104,8.5,Yes,1,145.3,16,9.5,Wrong size,178.1,7.3
ORD30129,CUST11719,Occasional Returner,2024-01-04,2024-01,Outerwear,2,390.68,156,8.5,Yes,1,195.34,18,9.5,Ordered multiple sizes,226.18,3.34
ORD30395,CUST11768,Loyal Buyer,2024-01-04,2024-01,Denim,1,94.5,32,8.5,Yes,1,94.5,14,9.5,Arrived too late,54.0,-64.0
ORD20262,CUST10050,Occasional Returner,2024-01-05,2024-01,Accessories,1,69.38,22,8.5,No,0,0,0,0,Not returned,38.88,38.88
ORD20639,CUST10110,Occasional Returner,2024-01-05,2024-01,Tops,1,42.1,16,8.5,Yes,1,42.1,10,9.5,Ordered multiple sizes,17.6,-44.0
ORD21213,CUST10210,Loyal Buyer,2024-01-05,2024-01,Accessories,1,71.34,22,8.5,No,0,0,0,0,Not returned,40.84,40.84
ORD22408,CUST10407,Occasional Returner,2024-01-05,2024-01,Tops,1,42.96,16,8.5,Yes,1,42.96,10,9.5,Wrong size,18.46,-44.0
ORD22460,CUST10415,Loyal Buyer,2024-01-05,2024-01,Tops,2,85.64,32,8.5,No,0,0,0,0,Not returned,45.14,45.14
ORD22605,CUST10443,Occasional Returner,2024-01-05,2024-01,Tops,1,46.93,16,8.5,Yes,1,46.93,10,9.5,Ordered multiple sizes,22.43,-44.0
ORD23002,CUST10504,Serial Returner,2024-01-05,2024-01,Accessories,1,62.6,22,8.5,No,0,0,0,0,Not returned,32.1,32.1
ORD23471,CUST10581,Occasional Returner,2024-01-05,2024-01,Accessories,1,48.8,22,8.5,No,0,0,0,0,Not returned,18.3,18.3
ORD23684,CUST10616,Bracket Buyer,2024-01-05,2024-01,Denim,3,327.78,96,8.5,Yes,2,218.52,28,9.5,Ordered multiple sizes,223.28,-32.74
ORD24508,CUST10756,Loyal Buyer,2024-01-05,2024-01,Tops,3,160.98,48,8.5,No,0,0,0,0,Not returned,104.48,104.48
ORD25818,CUST10981,Loyal Buyer,2024-01-05,2024-01,Footwear,1,126.69,52,8.5,No,0,0,0,0,Not returned,66.19,66.19
ORD26318,CUST11072,Bracket Buyer,2024-01-05,2024-01,Accessories,3,187.77,66,8.5,Yes,2,125.18,16,9.5,Ordered multiple sizes,113.27,-37.41
ORD26771,CUST11148,Bracket Buyer,2024-01-05,2024-01,Footwear,3,523.8,156,8.5,No,0,0,0,0,Not returned,359.3,359.3
ORD26942,CUST11178,Serial Returner,2024-01-05,2024-01,Footwear,1,159.63,52,8.5,Yes,1,159.63,16,9.5,Did not match description,99.13,-86.0
ORD27907,CUST11348,Occasional Returner,2024-01-05,2024-01,Accessories,1,64.98,22,8.5,No,0,0,0,0,Not returned,34.48,34.48
ORD27926,CUST11351,Loyal Buyer,2024-01-05,2024-01,Footwear,1,180.57,52,8.5,Yes,1,180.57,16,9.5,Ordered multiple sizes,120.07,-86.0
ORD28159,CUST11388,Loyal Buyer,2024-01-05,2024-01,Outerwear,1,164.47,78,8.5,No,0,0,0,0,Not returned,77.97,77.97
ORD28623,CUST11462,Bracket Buyer,2024-01-05,2024-01,Tops,2,116.22,32,8.5,Yes,1,58.11,10,9.5,Ordered multiple sizes,75.72,-1.89
ORD28875,CUST11501,Loyal Buyer,2024-01-05,2024-01,Tops,1,43.05,16,8.5,No,0,0,0,0,Not returned,18.55,18.55
ORD28889,CUST11505,Occasional Returner,2024-01-05,2024-01,Tops,2,102.3,32,8.5,No,0,0,0,0,Not returned,61.8,61.8
ORD29066,CUST11536,Bracket Buyer,2024-01-05,2024-01,Accessories,4,316.8,88,8.5,Yes,3,237.6,24,9.5,Ordered multiple sizes,220.3,-50.8
ORD29228,CUST11564,Loyal Buyer,2024-01-05,2024-01,Footwear,1,160.4,52,8.5,No,0,0,0,0,Not returned,99.9,99.9
ORD29543,CUST11619,Serial Returner,2024-01-05,2024-01,Tops,3,142.32,48,8.5,Yes,2,94.88,20,9.5,Wrong size,85.82,-38.56
ORD30171,CUST11728,Occasional Returner,2024-01-05,2024-01,Footwear,1,101.12,52,8.5,No,0,0,0,0,Not returned,40.62,40.62
ORD30204,CUST11733,Bracket Buyer,2024-01-05,2024-01,Tops,3,166.53,48,8.5,Yes,2,111.02,20,9.5,Ordered multiple sizes,110.03,-30.49
ORD30475,CUST11780,Bracket Buyer,2024-01-05,2024-01,Tops,1,42.48,16,8.5,No,0,0,0,0,Not returned,17.98,17.98
ORD20264,CUST10050,Occasional Returner,2024-01-06,2024-01,Tops,1,63.96,16,8.5,No,0,0,0,0,Not returned,39.46,39.46
ORD20366,CUST10065,Occasional Returner,2024-01-06,2024-01,Tops,2,77.86,32,8.5,Yes,1,38.93,10,9.5,Did not match description,37.36,-21.07
ORD22016,CUST10346,Loyal Buyer,2024-01-06,2024-01,Outerwear,2,335.32,156,8.5,No,0,0,0,0,Not returned,170.82,170.82
ORD22340,CUST10396,Bracket Buyer,2024-01-06,2024-01,Tops,2,83.34,32,8.5,Yes,1,41.67,10,9.5,Ordered multiple sizes,42.84,-18.33
ORD23238,CUST10542,Serial Returner,2024-01-06,2024-01,Outerwear,2,362.98,156,8.5,Yes,1,181.49,18,9.5,Wrong size,198.48,-10.51
ORD24019,CUST10680,Serial Returner,2024-01-06,2024-01,Footwear,2,352.98,104,8.5,Yes,1,176.49,16,9.5,Did not match description,240.48,38.49
ORD24204,CUST10710,Occasional Returner,2024-01-06,2024-01,Accessories,1,64.71,22,8.5,Yes,1,64.71,8,9.5,Wrong size,34.21,-48.0
ORD24466,CUST10750,Serial Returner,2024-01-06,2024-01,Footwear,1,113.96,52,8.5,Yes,1,113.96,16,9.5,Ordered multiple sizes,53.46,-86.0
ORD24938,CUST10833,Loyal Buyer,2024-01-06,2024-01,Tops,1,55.09,16,8.5,Yes,1,55.09,10,9.5,Arrived too late,30.59,-44.0
ORD24940,CUST10834,Occasional Returner,2024-01-06,2024-01,Tops,1,53.02,16,8.5,No,0,0,0,0,Not returned,28.52,28.52
ORD25553,CUST10935,Bracket Buyer,2024-01-06,2024-01,Denim,2,178.46,64,8.5,No,0,0,0,0,Not returned,105.96,105.96
ORD25666,CUST10954,Loyal Buyer,2024-01-06,2024-01,Footwear,1,139.42,52,8.5,No,0,0,0,0,Not returned,78.92,78.92
ORD25826,CUST10982,Serial Returner,2024-01-06,2024-01,Footwear,1,143.92,52,8.5,No,0,0,0,0,Not returned,83.42,83.42
ORD26361,CUST11078,Serial Returner,2024-01-06,2024-01,Denim,1,85.65,32,8.5,Yes,1,85.65,14,9.5,Ordered multiple sizes,45.15,-64.0
ORD27299,CUST11242,Loyal Buyer,2024-01-06,2024-01,Outerwear,1,123.11,78,8.5,No,0,0,0,0,Not returned,36.61,36.61
ORD28345,CUST11418,Serial Returner,2024-01-06,2024-01,Accessories,1,55.64,22,8.5,No,0,0,0,0,Not returned,25.14,25.14
ORD28622,CUST11462,Bracket Buyer,2024-01-06,2024-01,Tops,2,86.4,32,8.5,Yes,1,43.2,10,9.5,Ordered multiple sizes,45.9,-16.8
ORD28782,CUST11487,Bracket Buyer,2024-01-06,2024-01,Denim,3,254.61,96,8.5,Yes,2,169.74,28,9.5,Ordered multiple sizes,150.11,-57.13
ORD30112,CUST11715,Loyal Buyer,2024-01-06,2024-01,Tops,1,52.94,16,8.5,No,0,0,0,0,Not returned,28.44,28.44
ORD30575,CUST11798,Serial Returner,2024-01-06,2024-01,Tops,1,44.64,16,8.5,Yes,1,44.64,10,9.5,Ordered multiple sizes,20.14,-44.0
ORD21004,CUST10172,Occasional Returner,2024-01-07,2024-01,Tops,1,42.56,16,8.5,No,0,0,0,0,Not returned,18.06,18.06
ORD21013,CUST10173,Occasional Returner,2024-01-07,2024-01,Footwear,1,120.93,52,8.5,Yes,1,120.93,16,9.5,Changed mind,60.43,-86.0
ORD21576,CUST10270,Bracket Buyer,2024-01-07,2024-01,Accessories,2,128.86,44,8.5,Yes,1,64.43,8,9.5,Ordered multiple sizes,76.36,-5.57
ORD23066,CUST10515,Serial Returner,2024-01-07,2024-01,Outerwear,2,393.14,156,8.5,No,0,0,0,0,Not returned,228.64,228.64
ORD24028,CUST10681,Occasional Returner,2024-01-07,2024-01,Outerwear,1,197.21,78,8.5,Yes,1,197.21,18,9.5,Wrong size,110.71,-114.0
ORD24085,CUST10690,Loyal Buyer,2024-01-07,2024-01,Tops,1,51.63,16,8.5,No,0,0,0,0,Not returned,27.13,27.13
ORD24091,CUST10691,Bracket Buyer,2024-01-07,2024-01,Tops,2,96.72,32,8.5,Yes,1,48.36,10,9.5,Ordered multiple sizes,56.22,-11.64
ORD24968,CUST10840,Occasional Returner,2024-01-07,2024-01,Tops,1,44.06,16,8.5,Yes,1,44.06,10,9.5,Wrong size,19.56,-44.0
ORD25701,CUST10959,Occasional Returner,2024-01-07,2024-01,Denim,2,173.42,64,8.5,No,0,0,0,0,Not returned,100.92,100.92
ORD25739,CUST10967,Serial Returner,2024-01-07,2024-01,Outerwear,2,330.1,156,8.5,Yes,1,165.05,18,9.5,Quality issue,165.6,-26.95
ORD25899,CUST10995,Occasional Returner,2024-01-07,2024-01,Tops,1,43.34,16,8.5,No,0,0,0,0,Not returned,18.84,18.84
ORD25935,CUST11002,Loyal Buyer,2024-01-07,2024-01,Accessories,1,58.41,22,8.5,No,0,0,0,0,Not returned,27.91,27.91
ORD26115,CUST11033,Occasional Returner,2024-01-07,2024-01,Tops,1,54.73,16,8.5,No,0,0,0,0,Not returned,30.23,30.23
ORD27367,CUST11254,Occasional Returner,2024-01-07,2024-01,Tops,2,105.24,32,8.5,No,0,0,0,0,Not returned,64.74,64.74
ORD27509,CUST11280,Occasional Returner,2024-01-07,2024-01,Footwear,1,124.68,52,8.5,No,0,0,0,0,Not returned,64.18,64.18
ORD28147,CUST11386,Loyal Buyer,2024-01-07,2024-01,Accessories,1,75.41,22,8.5,No,0,0,0,0,Not returned,44.91,44.91
ORD29190,CUST11557,Bracket Buyer,2024-01-07,2024-01,Denim,4,375.88,128,8.5,Yes,3,281.91,42,9.5,Ordered multiple sizes,239.38,-94.03
ORD29488,CUST11610,Serial Returner,2024-01-07,2024-01,Outerwear,1,237.85,78,8.5,Yes,1,237.85,18,9.5,Changed mind,151.35,-114.0
ORD29738,CUST11651,Serial Returner,2024-01-07,2024-01,Accessories,1,55.66,22,8.5,Yes,1,55.66,8,9.5,Ordered multiple sizes,25.16,-48.0
ORD29896,CUST11678,Occasional Returner,2024-01-07,2024-01,Tops,1,33.78,16,8.5,Yes,1,33.78,10,9.5,Arrived too late,9.28,-44.0
ORD29916,CUST11681,Bracket Buyer,2024-01-07,2024-01,Denim,3,220.02,96,8.5,No,0,0,0,0,Not returned,115.52,115.52
ORD30347,CUST11759,Occasional Returner,2024-01-07,2024-01,Denim,2,205.64,64,8.5,No,0,0,0,0,Not returned,133.14,133.14
ORD20593,CUST10102,Serial Returner,2024-01-08,2024-01,Accessories,2,142.14,44,8.5,Yes,1,71.07,8,9.5,Ordered multiple sizes,89.64,1.07
ORD21155,CUST10201,Loyal Buyer,2024-01-08,2024-01,Tops,1,52.81,16,8.5,No,0,0,0,0,Not returned,28.31,28.31
ORD21168,CUST10204,Bracket Buyer,2024-01-08,2024-01,Footwear,2,213.94,104,8.5,Yes,1,106.97,16,9.5,Ordered multiple sizes,101.44,-31.03
ORD21537,CUST10263,Bracket Buyer,2024-01-08,2024-01,Denim,3,247.41,96,8.5,Yes,2,164.94,28,9.5,Ordered multiple sizes,142.91,-59.53
ORD21579,CUST10270,Bracket Buyer,2024-01-08,2024-01,Accessories,2,121.24,44,8.5,Yes,1,60.62,8,9.5,Ordered multiple sizes,68.74,-9.38
ORD22161,CUST10370,Serial Returner,2024-01-08,2024-01,Tops,2,109.94,32,8.5,Yes,1,54.97,10,9.5,Ordered multiple sizes,69.44,-5.03
